2026-04-24 12:02:27,20,75.38
2026-04-24 12:02:33,20,75.53
2026-04-24 12:02:40,45,75.68
2026-04-24 12:02:48,100,76.08
2026-04-24 12:02:54,66,76.09
2026-04-24 12:03:02,37,76.06
2026-04-24 12:05:29,35,79.2
2026-04-24 12:05:34,32,79.84
2026-04-24 12:05:38,27,80.03
2026-04-24 12:05:42,48,79.86
2026-04-24 12:05:47,31,80.01
2026-04-24 12:05:51,42,80.15
2026-04-24 12:05:55,54,80.79
2026-04-24 12:06:00,40,80.7
2026-04-24 12:06:04,28,80.79
2026-04-24 12:06:08,31,80.64
2026-04-24 12:06:12,31,80.69
2026-04-24 12:06:17,33,80.81
2026-04-24 12:06:21,34,80.83
2026-04-24 12:06:25,43,80.77
2026-04-24 12:06:29,42,80.96
2026-04-24 12:06:34,37,80.81
2026-04-24 12:06:38,32,80.89
2026-04-24 12:06:42,45,81.19
2026-04-24 12:06:46,27,81.44
2026-04-24 12:06:50,30,81.35
2026-04-24 12:06:55,34,81.66
2026-04-24 12:06:59,25,81.43
2026-04-24 12:07:03,36,81.51
2026-04-24 12:07:07,20,81.4
2026-04-24 12:07:12,21,81.58
2026-04-24 12:07:16,35,81.91
2026-04-24 12:07:20,59,82.13
2026-04-24 12:07:24,42,82.14
2026-04-24 12:07:29,52,82.04
2026-04-24 12:07:33,38,81.93
2026-04-24 12:07:37,40,82.18
2026-04-24 12:07:41,43,82.44
2026-04-24 12:07:45,32,82.97
2026-04-24 12:07:49,39,83.29
2026-04-24 12:07:54,44,83.66
2026-04-24 12:07:58,18,84.58
2026-04-24 12:08:02,39,84.46
2026-04-24 12:08:07,34,84.69
2026-04-24 12:08:11,47,84.8
2026-04-24 12:08:15,40,83.86
2026-04-24 12:08:19,31,84.27
2026-04-24 12:08:24,40,84.62
2026-04-24 12:08:28,49,85.48
2026-04-24 12:08:32,44,85.84
2026-04-24 12:08:36,26,85.93
2026-04-24 12:08:41,40,86.27
2026-04-24 12:08:45,36,86.52
2026-04-24 12:08:49,37,86.55
2026-04-24 12:08:53,42,86.86
2026-04-24 12:08:58,40,86.9
2026-04-24 12:09:02,53,85.09
2026-04-24 12:09:06,48,85.43
2026-04-24 12:09:10,40,85.71
2026-04-24 12:09:15,40,85.97
2026-04-24 12:09:19,42,86.3
2026-04-24 12:09:23,45,86.38
2026-04-24 12:09:28,38,86.55
2026-04-24 12:09:32,37,86.84
2026-04-24 12:09:36,43,87.53
2026-04-24 12:09:40,47,87.52
2026-04-24 12:09:45,34,87.78
2026-04-24 12:09:49,35,88.17
2026-04-24 12:09:53,36,88.45
2026-04-24 12:09:57,45,88.94
2026-04-24 12:10:02,48,88.77
2026-04-24 12:10:06,50,89.24
2026-04-24 12:10:10,45,89.45
2026-04-24 12:18:03,74,80.96
2026-04-24 12:18:08,62,79.43
2026-04-24 12:18:12,53,79.46
2026-04-24 12:18:16,62,79.55
2026-04-24 12:18:21,46,80.11
2026-04-24 12:18:25,22,80.51
2026-04-24 12:18:29,32,82.05
2026-04-24 12:18:34,44,82.28
2026-04-24 12:18:38,31,81.68
2026-04-24 12:18:42,42,79.35
2026-04-24 12:18:46,41,79.07
2026-04-24 12:18:50,37,79.08
2026-04-24 12:18:54,40,79.61
2026-04-24 12:18:59,49,79.98
2026-04-24 12:19:03,56,80.35
2026-04-24 12:19:34,53,81.89
